127.0.0.1 - - [22/Apr/2016:10:29:31 -0700] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [22/Apr/2016:10:29:35 -0700] "GET /exspenses_java_project/signIn.jsp HTTP/1.1" 200 1936
0:0:0:0:0:0:0:1 - - [22/Apr/2016:10:29:59 -0700] "POST /exspenses_java_project/ExpensesPath HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [22/Apr/2016:10:30:19 -0700] "POST /exspenses_java_project/ExpensesPath HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [22/Apr/2016:10:32:16 -0700] "GET /exspenses_java_project/signIn.jsp HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [22/Apr/2016:10:32:39 -0700] "GET /exspenses_java_project/signIn.jsp HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [22/Apr/2016:10:33:39 -0700] "GET /exspenses_java_project/signIn.jsp HTTP/1.1" 200 1911
0:0:0:0:0:0:0:1 - - [22/Apr/2016:10:36:54 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:02:15 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 1919
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:02:54 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:26:59 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2402
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:27:50 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2396
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:27:56 -0700] "GET /exspenses_java_project/signIn.jsp HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:30:21 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:31:27 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2465
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:48:21 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:49:20 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2499
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:50:02 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2503
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:50:14 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:54:49 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:55:23 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2479
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:55:35 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2479
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:55:49 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2466
0:0:0:0:0:0:0:1 - - [22/Apr/2016:11:58:57 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:00:34 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:00:35 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:01:00 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:01:24 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:01:48 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:03:24 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:04:27 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:05:09 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:05:50 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:08:30 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:09:21 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:09:22 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:09:22 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:09:22 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3169
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:09:54 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:10:08 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3168
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:10:47 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:11:01 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:11:28 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:11:55 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:15:13 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3591
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:16:49 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3591
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:17:27 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3592
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:18:37 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3618
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:30:13 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3618
0:0:0:0:0:0:0:1 - - [22/Apr/2016:12:31:14 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3618
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:20:42 -0700] "GET /exspenses_java_project/userForm.jsp HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:23:42 -0700] "GET /exspenses_java_project/userForm.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:26:54 -0700] "GET /exspenses_java_project/signUpSuccess.jsp HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:28:00 -0700] "GET /exspenses_java_project/signIn.jsp HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:28:06 -0700] "GET /exspenses_java_project/form.jsp HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:29:47 -0700] "GET /exspenses_java_project/form.jsp HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:29:50 -0700] "GET /exspenses_java_project/signIn.jsp HTTP/1.1" 200 1906
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:29:52 -0700] "GET /exspenses_java_project/form.jsp HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:33:18 -0700] "GET /exspenses_java_project/signIn.jsp HTTP/1.1" 200 1910
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:33:20 -0700] "GET /exspenses_java_project/userForm.jsp HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:33:25 -0700] "GET /exspenses_java_project/signIn.jsp HTTP/1.1" 200 1910
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:33:28 -0700] "GET /exspenses_java_project/form.jsp HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:34:22 -0700] "GET /exspenses_java_project/userForm.jsp HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:34:27 -0700] "GET /exspenses_java_project/form.jsp HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:35:12 -0700] "GET /exspenses_java_project/userForm.jsp HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:35:16 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:35:17 -0700] "GET /exspenses_java_project/signUpForm.jsp HTTP/1.1" 200 3622
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:35:19 -0700] "GET /exspenses_java_project/userForm.jsp HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:37:03 -0700] "GET /exspenses_java_project/estimator.jsp HTTP/1.1" 200 2771
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:39:54 -0700] "GET /exspenses_java_project/estimator.jsp HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:40:50 -0700] "GET /exspenses_java_project/estimator.jsp HTTP/1.1" 200 2787
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:42:16 -0700] "GET /exspenses_java_project/estimator.jsp HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:42:18 -0700] "GET /exspenses_java_project/estimator.jsp HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:42:18 -0700] "GET /exspenses_java_project/estimator.jsp HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:42:20 -0700] "GET /exspenses_java_project/userForm.jsp HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:42:22 -0700] "GET /exspenses_java_project/signIn.jsp HTTP/1.1" 200 1910
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:42:30 -0700] "GET /exspenses_java_project/userForm.jsp HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [22/Apr/2016:13:43:17 -0700] "GET /exspenses_java_project/userForm.jsp HTTP/1.1" 200 2497
